Passenger_ID,Flight_Date,Seat_Class,Flight_Delay_Min,Checkin_Time_Min,WiFi_Rating,Streaming_Experience_Rating,Satisfaction_Score,Loyalty_Status,Booking_Channel,Complaint_Ticket,Avg_Devices_Connected,WiFi_Dropouts,Content_Streaming,VPN_Use
PAX1000,1/1/24,Business,33.41498495,55.57423509,3,5,9.764656969,None,Mobile App,No,2,1,Yes,No
PAX1001,1/2/24,First,31.32496696,45.51360859,3,2,8.10305172,Silver,Phone,No,2.1,1,Yes,Yes
PAX1002,1/3/24,Economy,16.89251165,53.72447158,5,3,6.978709899,Silver,Travel Agent,Yes,1.6,1,No,No
PAX1003,1/4/24,Business,10.64783908,55.66198544,3,5,8.743708027,Silver,Travel Agent,No,2.6,0,No,No
PAX1004,1/5/24,Business,0,35.40991904,5,4,9.430462446,Platinum,Phone,No,1.2,1,Yes,No
PAX1005,1/6/24,First,36.49470464,58.82004604,1,3,6.833043663,Gold,Mobile App,No,1.1,2,Yes,No
PAX1006,1/7/24,Economy,17.33401818,54.0512196,5,3,6.858888086,None,Mobile App,No,1.9,1,No,Yes
PAX1007,1/8/24,Economy,13.84425037,38.96095628,1,3,6.67103134,None,Travel Agent,Yes,2.3,3,No,No
PAX1008,1/9/24,Business,37.69574517,48.0444912,5,4,8.945775478,None,Mobile App,No,2.6,0,Yes,No
PAX1009,1/10/24,Premium Economy,6.526880908,47.57207491,4,4,8.960336171,Silver,Website,Yes,1.6,3,Yes,No
PAX1010,1/11/24,Business,32.52193129,45.23931814,5,3,9.578854982,None,Phone,Yes,2.3,1,Yes,No
PAX1011,1/12/24,Business,24.44842076,53.71913989,1,4,9.012904425,Silver,Website,No,1.8,0,Yes,No
PAX1012,1/13/24,Business,4.432551852,59.37356328,4,4,5.051672881,Silver,Mobile App,No,1.7,1,Yes,No
PAX1013,1/14/24,Business,18.86294382,45.07306373,5,1,7.921446481,None,Travel Agent,No,2.2,2,No,Yes
PAX1014,1/15/24,First,34.59445301,58.30881328,4,3,5.912421896,Gold,Phone,No,2.1,0,No,No
PAX1015,1/16/24,Economy,31.93393196,54.88202611,4,4,6.730628438,None,Mobile App,No,1,1,Yes,No
PAX1016,1/17/24,First,42.43151379,47.32296158,4,5,7.755891305,None,Mobile App,No,2.5,2,No,No
PAX1017,1/18/24,First,25.07271878,46.76180922,4,4,8.753348098,Gold,Travel Agent,No,2.5,0,Yes,No
PAX1018,1/19/24,First,70.5844438,33.47434628,4,4,6.163734986,Silver,Travel Agent,No,1.5,1,Yes,No
PAX1019,1/20/24,Business,6.194137924,29.99231607,4,2,4.012920508,Silver,Website,No,2,1,Yes,Yes
PAX1020,1/21/24,Premium Economy,14.02042415,46.65022798,5,4,7.770796263,Silver,Phone,No,2,2,Yes,Yes
PAX1021,1/22/24,Economy,19.08703869,36.44071082,1,4,10,None,Phone,No,1.9,0,No,Yes
PAX1022,1/23/24,Premium Economy,0,44.60363858,3,3,7.19573067,Gold,Travel Agent,No,1.5,0,No,No
PAX1023,1/24/24,First,35.63737426,39.65337258,5,3,7.570373152,Gold,Website,No,1.5,2,Yes,No
PAX1024,1/25/24,First,33.55298736,27.11503495,5,3,10,Silver,Phone,Yes,1.8,0,Yes,No
PAX1025,1/26/24,Premium Economy,20.28500497,48.57304542,4,1,8.385411929,None,Travel Agent,No,2.4,1,No,No
PAX1026,1/27/24,Premium Economy,11.98375319,40.85468195,4,3,7.825291555,Silver,Mobile App,No,2.1,2,Yes,Yes
PAX1027,1/28/24,Premium Economy,0,45.80198713,3,3,8.163174998,None,Phone,No,1.6,1,Yes,No
PAX1028,1/29/24,First,8.16112507,36.06879726,2,3,7.875365899,None,Website,No,2.2,2,No,No
PAX1029,1/30/24,First,31.15566926,41.65182753,4,2,5.790368358,Platinum,Website,No,0.5,1,Yes,Yes
PAX1030,1/31/24,Economy,16.81757867,60.60380141,3,5,5.487832263,None,Website,No,2.4,0,Yes,No
PAX1031,2/1/24,Economy,13.59696809,46.28551,4,4,10,Platinum,Mobile App,No,0.9,2,Yes,No
PAX1032,2/2/24,First,27.52172497,50.49576345,1,4,7.775825028,Silver,Phone,No,1.6,0,No,Yes
PAX1033,2/3/24,Premium Economy,37.37279979,32.29128193,5,5,7.650143164,None,Phone,No,1.2,0,Yes,No
PAX1034,2/4/24,Premium Economy,23.85675305,68.89035957,5,4,7.364658504,Silver,Mobile App,No,1.2,1,Yes,No
PAX1035,2/5/24,Economy,24.71769344,63.43413758,4,2,8.671609901,Gold,Phone,No,2.4,1,No,Yes
PAX1036,2/6/24,First,40.577932,58.63435491,4,4,10,Gold,Mobile App,No,1.6,1,Yes,No
PAX1037,2/7/24,Economy,22.63329941,53.28765978,3,4,8.285929001,Gold,Mobile App,No,2,1,No,No
PAX1038,2/8/24,Economy,15.3606718,45.15143278,5,4,6.617869761,Silver,Mobile App,No,1.8,1,Yes,No
PAX1039,2/9/24,Business,30.09688254,49.42074017,4,4,7.299898713,Silver,Website,No,2,3,No,No
PAX1040,2/10/24,Business,16.15054726,55.48019744,2,2,9.106494701,Gold,Phone,No,1.8,1,Yes,No
PAX1041,2/11/24,Business,14.48261414,38.71430253,5,3,6.625799098,None,Mobile App,Yes,1.2,3,Yes,No
PAX1042,2/12/24,Premium Economy,39.1060043,40.55501256,5,3,8.778369734,Silver,Phone,No,2.3,2,Yes,No
PAX1043,2/13/24,First,15.62070994,28.30867641,5,4,4.018893939,None,Website,No,1.6,2,Yes,Yes
PAX1044,2/14/24,First,0,37.28180922,5,4,7.155180643,Platinum,Mobile App,No,1,1,No,No
PAX1045,2/15/24,First,25.18276916,61.61301731,4,3,8.44221002,Platinum,Travel Agent,No,1.6,1,No,No
PAX1046,2/16/24,First,14.06725323,41.65752909,4,5,9.40518832,None,Website,No,2.6,2,Yes,No
PAX1047,2/17/24,Business,15.66294715,41.82153093,5,4,6.272288674,Gold,Travel Agent,No,2.2,3,Yes,Yes
PAX1048,2/18/24,Premium Economy,26.7940449,48.17767032,5,3,5.245852474,Platinum,Phone,No,1.6,1,No,No
PAX1049,2/19/24,Premium Economy,17.50908637,28.87772693,1,2,7.108897253,None,Phone,No,1.6,4,No,Yes
